"rep","fold","Taxa","observed","predicted"
7,1,"PI 319768",-3.0947565821953,2.30059105623351
7,1,"PI 319770",5.60792539732361,-18.9722613251762
7,1,"PI 337399",-48.891681182551,-46.4589413604912
7,1,"PI 343398",20.9688595511485,50.6165528421274
7,1,"PI 355268",83.5926065435547,81.7403052956996
7,1,"PI 371521",30.2241303065118,64.4576463576375
7,1,"PI 442768",23.9078614520448,37.8945542143188
7,1,"PI 461427",-52.8331073584546,-53.9508655684783
7,1,"PI 468271",20.3866795249287,18.6466954490041
7,1,"PI 478850",-41.4131499911608,-44.6422720153271
7,1,"PI 493717",-16.358090909818,-5.20926316974923
7,1,"PI 493938",-15.6332847605169,-31.7399431269916
7,1,"PI 494795",8.2364494572083,6.83340599132456
7,1,"PI 496401",21.2938516538893,56.5832445573327
7,1,"PI 502120",7.61631474631251,24.9151267660236
7,2,"PI 259658",100.707784632293,92.6671848015949
7,2,"PI 259836",-13.4113846071158,-18.1833768339619
7,2,"PI 268755",-34.6790842345355,-31.9176288662678
7,2,"PI 270786",90.8506593776961,92.5261300085249
7,2,"PI 270905",23.0458444858713,50.8813744765172
7,2,"PI 270907",91.9216771993511,92.0881296197589
7,2,"PI 271019",-5.6110404254436,4.12033632626727
7,2,"PI 290536",93.7106746878443,91.2241744762812
7,2,"PI 295250",93.8116442119282,93.1488490343886
7,2,"PI 325943",-55.6161781982585,-50.355516447848
7,2,"PI 337406",-15.5986954843422,-12.1872180477879
7,2,"PI 403813",-24.2800736050239,-25.1192208361338
7,2,"PI 407667",-44.1385440155654,-46.3168102073014
7,2,"PI 471954",-22.923447881111,-69.0904257272557
7,2,"PI 475863",-21.7910590813281,-28.9107180491883
7,2,"PI 475931",7.58481242635805,7.91083836867636
7,2,"PI 482189",-13.9503326174076,-27.9800520302088
7,2,"PI 493581",-52.467277874188,-44.2947318282444
7,2,"PI 497318",31.7422567795936,30.6288203175492
